            identifier             ,       coord                           ,  Mag V
HD 165185                          ,18 06 23.7195191736 -36 01 11.230597272,5.95
HD 168838                          ,18 23 28.8266690568 -36 14 16.758149352,5.518
* eps Sgr                          ,18 24 10.31840 -34 23 04.6193          ,1.85
HD 172910                          ,18 44 19.3590068 -35 38 31.154592      ,4.87
HD 186500                          ,19 46 01.2251177472 -31 54 30.846204252,5.512
HD 190056                          ,20 04 19.5930107568 -32 03 22.666720392,4.99
HD 194215                          ,20 25 26.8274580216 -28 39 47.749771800,5.858
HD 199260                          ,20 56 47.3316655128 -26 17 46.960329480,5.7
* ome Cap                          ,20 51 49.2905373888 -26 55 08.885443656,4.12
* sig Lib                          ,15 04 04.2160765 -25 16 55.060636      ,3.21
HD 135051                          ,15 13 53.3128618824 -26 11 36.866722560,5.857
* 36 Lib                           ,15 34 37.3181759976 -28 02 49.272938232,5.138
* ups Lib                          ,15 37 01.4501996 -28 08 06.292648      ,3.589
* rho Sco                          ,15 56 53.0762391 -29 12 50.661185      ,3.86
* 12 Sco A                         ,16 12 16.0428278880 -28 25 02.224259076,5.8
HD 145250                          ,16 11 02.0683023240 -29 24 58.387298940,5.102
* d Sco                            ,16 18 17.9001656 -28 36 50.476788      ,4.782
HD 146836                          ,16 19 32.7382799688 -30 54 24.160713048,5.502
CD-29 12513                        ,16 24 39.77379 -29 42 16.7693          ,5.41
CD-29 12513A                       ,16 24 39.7741088568 -29 42 16.785116136,5.82
HD 153613                          ,17 01 52.6418972928 -32 08 36.680544996,5.01
HD 154783                          ,17 08 47.5394206392 -30 24 13.382302392,5.911
HD 155450                          ,17 12 58.5578949696 -32 26 17.993977116,5.997
HD 156098                          ,17 17 03.6458542704 -32 39 46.220745528,5.526
NGC 6383                           ,17 34 41.5 -32 34 23                   ,5.5
HD 159176                          ,17 34 42.4921337376 -32 34 53.995451196,5.7
V* BM Sco                          ,17 40 58.5463959480 -32 12 52.064356500,5.6
HD 161840                          ,17 49 10.4771628 -31 42 11.543842      ,4.797
HD 170479                          ,18 31 04.8414699868 -32 59 20.753703372,5.386
HD 171034                          ,18 33 57.7663102032 -33 00 59.616968472,5.276
NAME SDG                           ,18 55 03.1 -30 28 42                   ,3.6
HD 177074                          ,19 04 25.0576352928 -31 02 49.490055780,5.482
HD 182286                          ,19 25 04.0424690256 -29 18 33.687894708,5.93
HD 182681                          ,19 26 56.4829971576 -29 44 35.617721496,5.644
* c Sgr                            ,20 02 39.4809660 -27 42 35.444256      ,4.58
HD 192310                          ,20 15 17.3913760474 -27 01 58.711625384,5.723
* psi Cap                          ,20 46 05.7326265 -25 16 15.231155      ,4.122
HD 198174                          ,20 49 17.6130920568 -25 46 52.479584364,5.849
* 42 Lib                           ,15 40 16.8973226160 -23 49 05.101136148,4.96
* 2 Sco                            ,15 53 36.71880 -25 19 37.7087          ,4.59
HD 142165                          ,15 53 53.9142283800 -24 31 59.373289920,5.372
* 3 Sco                            ,15 54 39.5296532472 -25 14 37.459966128,5.87
* b Sco                            ,15 50 58.7444628720 -25 45 04.658676984,4.635
* 4 Sco                            ,15 55 30.0735638472 -26 15 57.537358092,5.625
V* V913 Sco                        ,15 58 34.8665694960 -24 49 53.361727284,5.43
* pi. Sco                          ,15 58 51.1132378 -26 06 50.788602      ,2.91
HD 143787                          ,16 03 20.6231448768 -25 51 54.873258444,4.966
HD 144690                          ,16 08 07.5867113208 -26 19 36.051285792,5.38
* c02 Sco                          ,16 12 18.2048972 -27 55 34.945744      ,4.568
* alf Sco B                        ,16 29 24.20 -26 25 51.0                ,5.2
* alf Sco                          ,16 29 24.45970 -26 25 55.2094          ,0.91
* tau Sco                          ,16 35 52.9528530 -28 12 57.661515      ,2.81
HD 150894                          ,16 45 00.1899218544 -28 30 34.765672968,5.982
* 43 Oph                           ,17 23 21.5908786608 -28 08 34.200756204,5.288
* d Oph                            ,17 27 21.2757105 -29 52 01.326251      ,4.269
HD 157955                          ,17 27 37.5530838144 -29 43 28.440759612,5.974
HD 163755                          ,17 59 05.281 -30 15 10.88              ,5.17
CD-30 15035                        ,17 59 05.28176 -30 15 10.8789          ,5.36
HD 165634                          ,18 08 04.9798155 -28 27 25.531664      ,4.56
* gam01 Sgr                        ,18 05 01.2264355704 -29 34 48.322222356,4.69
* gam02 Sgr                        ,18 05 48.4880988 -30 25 26.723458      ,2.99
HD 166023                          ,18 10 05.8137077256 -30 43 43.200328980,5.65
* del Sgr                          ,18 20 59.6435424 -29 49 41.165919      ,2.668
* 18 Sgr                           ,18 25 01.4272703880 -30 45 23.616748152,5.574
HD 169830                          ,18 27 49.4849984976 -29 49 00.700831380,5.902
* tau Sgr                          ,19 06 56.4031131168 -27 40 13.496293992,3.31
* zet Sgr                          ,19 02 36.73024 -29 52 48.2279          ,2.585
HD 183275                          ,19 29 52.1859279672 -26 59 08.179477620,5.49
* ome Sgr                          ,19 55 50.3625499909 -26 17 57.693299065,4.7
* 60 Sgr                           ,19 58 57.2021818392 -26 11 44.744911476,4.846
* b Sgr                            ,19 56 56.8316470 -27 10 11.640936      ,4.528
* iot Lib                          ,15 12 13.2902543 -19 47 30.159216      ,4.54
HD 139254                          ,15 37 48.0415231272 -23 08 30.145550532,5.79
HD 142184                          ,15 53 55.86404 -23 58 41.1522          ,5.402
HD 144334                          ,16 06 06.3891324384 -23 36 22.849641396,5.92
* del Sco                          ,16 00 20.00528 -22 37 18.1431          ,2.32
HD 144844                          ,16 08 43.7202865416 -23 41 07.483461252,5.88
* omi Sco                          ,16 20 38.1806792 -24 10 09.549111      ,4.57
* sig Sco                          ,16 21 11.3157134 -25 35 34.051476      ,2.89
* rho Oph                          ,16 25 35.11766 -23 26 49.8150          ,4.63
* i Sco                            ,16 30 12.4751393 -25 06 54.804270      ,4.79
HD 153336                          ,16 59 57.7070386128 -25 05 31.918254072,5.86
* 26 Oph                           ,17 00 09.5293323528 -24 59 20.901756372,5.731
M 19                               ,17 02 37.69 -26 16 04.6                ,5.57
* 36 Oph A                         ,17 15 20.7836485323 -26 36 06.117207947,5.08
* 36 Oph B                         ,17 15 20.9838262152 -26 36 10.173444860,5.03
V* X Sgr                           ,17 47 33.6239490288 -27 49 50.835778896,4.54
HD 163318                          ,17 56 41.8399656864 -28 03 55.421194068,5.763  
HD 167818                          ,18 18 03.1913601 -27 02 33.514873      ,4.627
* lam Sgr                          ,18 27 58.2407185 -25 25 18.114589      ,2.81
HD 173117                          ,18 44 49.6043628888 -25 00 39.273572196,5.811
* phi Sgr                          ,18 45 39.3861043 -26 59 26.794441      ,3.14
* sig Sgr                          ,18 55 15.92650 -26 17 48.2068          ,2.067
HD 176704                          ,19 02 27.6750403056 -24 50 48.571522440,5.628
* psi Sgr                          ,19 15 32.4265759 -25 15 24.056854      ,4.86
HD 179323                          ,19 13 13.6679334096 -25 54 24.432840108,5.765
* chi01 Sgr                        ,19 25 16.4901283 -24 30 30.859921      ,5.009
* chi03 Sgr                        ,19 25 29.6595764592 -23 57 44.833195044,5.43
HD 185467                          ,19 40 07.1647973304 -23 25 44.703513840,5.957
* h01 Sgr                          ,19 36 01.6534928016 -24 43 08.690321460,5.64
* h02 Sgr                          ,19 36 42.4328855 -24 53 01.028795      ,4.598
HD 189561                          ,20 01 23.8467090408 -22 44 14.312051448,5.999
* 4 Cap                            ,20 18 01.3969066824 -21 48 35.850152772,5.851
* 17 Cap                           ,20 46 09.9880086312 -21 30 50.529680172,5.902
* 41 Lib                           ,15 38 54.5573793504 -19 18 06.807586464,5.359
* kap Lib                          ,15 41 56.7924203448 -19 40 43.654786104,4.72
HD 139329                          ,15 38 16.2864597288 -21 00 58.746387600,5.816
* lam Lib                          ,15 53 20.0538968232 -20 10 01.471003716,5.027
* ome02 Sco                        ,16 07 24.3281783 -20 52 07.551833      ,4.33
* ome Sco                          ,16 06 48.4269211 -20 40 09.090235      ,3.97
* ome Oph                          ,16 32 08.1998273 -21 27 59.012005      ,4.45
* omi Oph A                        ,17 18 00.6802990176 -24 17 12.847968168,5.11
* tet Oph                          ,17 22 00.5793468 -24 59 58.366974      ,3.26
* b Oph                            ,17 26 22.2174889 -24 10 31.118980      ,4.153
* c Oph                            ,17 31 24.9541340 -23 57 45.513592      ,4.81
* 4 Sgr                            ,17 59 47.5564555824 -23 48 58.012965864,4.724
* 7 Sgr                            ,18 02 51.0986253456 -24 16 56.882232732,5.34
HD 164402                          ,18 01 54.3809958600 -22 46 49.059228432,5.77
* 9 Sgr                            ,18 03 52.4450051016 -24 21 38.632254012,5.97
* 1 Sgr                            ,18 11 43.3327588368 -23 42 04.433754384,4.98
* 24 Sgr                           ,18 33 53.4863166984 -24 01 56.215182540,5.461
HD 171961                          ,18 38 30.7143272304 -23 30 17.622731304,5.772
* 28 Sgr                           ,18 46 20.6109922296 -22 23 31.823445372,5.366
* nu.01 Sgr                        ,18 54 10.1780830272 -22 44 41.422617132,4.845
* nu.02 Sgr                        ,18 55 07.1374621536 -22 40 16.621635288,4.98
HD 175360                          ,18 56 00.6739119744 -23 10 25.511681100,5.93
* omi Sgr                          ,19 04 40.9820400284 -21 44 29.385451232,3.77
HD 181240                          ,19 20 38.1481323072 -22 24 09.166534380,5.579
* 50 Sgr                           ,19 26 19.1572224672 -21 46 36.092741808,5.569
* sig Cap                          ,20 19 23.6042841528 -19 07 06.691381572,5.265
* omi Cap A                        ,20 29 53.9094947640 -18 34 59.460677724,5.897
* ups Cap                          ,20 40 02.9443337424 -18 08 19.166684604,5.1
* 19 Cap                           ,20 54 47.8164583128 -17 55 22.420497144,5.782
* nu. Lib                          ,15 06 37.5965113128 -16 15 24.546990276,5.2
* zet01 Lib                        ,15 28 15.4081976976 -16 42 59.347513656,5.626
* zet03 Lib                        ,15 30 40.4013252600 -16 36 34.064716068,5.806
* zet04 Lib                        ,15 32 55.2212555688 -16 51 10.241221140,5.499
* 47 Lib                           ,15 55 00.3615238176 -19 22 58.554643620,5.957
* bet Sco                          ,16 05 26.23 -19 48 19.4                ,2.5
* bet02 Sco                        ,16 05 26.5686169680 -19 48 06.845424840,4.89
* bet01 Sco                        ,16 05 26.2319826 -19 48 19.630018      ,2.62
* nu. Sco                          ,16 11 59.73568 -19 27 38.5361          ,4
* nu. Sco A                        ,16 11 59.7338468136 -19 27 38.486177604,4.349
* psi Oph                          ,16 24 06.1846427 -20 02 14.378421      ,4.5
* chi Oph                          ,16 27 01.4349892 -18 27 22.493784      ,4.43
HD 150453                          ,16 41 53.7028702608 -19 55 27.699461724,5.559
HD 152311                          ,16 53 25.2127433568 -20 24 56.882126232,5.857
* ksi Oph                          ,17 21 00.3745211364 -21 06 46.571010951,4.387
HD 157527                          ,17 24 42.0283098840 -21 26 29.338040616,5.83
* 58 Oph                           ,17 43 25.7937012 -21 40 59.497954      ,4.861
* mu. Sgr                          ,18 13 45.8088401 -21 03 31.794073      ,3.85
* 15 Sgr                           ,18 15 12.9063291264 -20 43 41.767600368,5.37
* 14 Sgr                           ,18 14 15.8999662296 -21 42 47.385506880,5.473
* 21 Sgr                           ,18 25 21.0394302144 -20 32 30.022206936,4.86
HD 171856                          ,18 37 54.4271805912 -21 23 51.822981708,5.931
HD 172051                          ,18 38 53.4010594968 -21 03 06.750986472,5.86
* 29 Sgr                           ,18 49 40.1079977424 -20 19 28.756704684,5.21
* 33 Sgr                           ,18 54 00.0880492848 -21 21 35.452437192,5.678
* ksi01 Sgr                        ,18 57 20.4768926304 -20 39 22.852334844,5.054
* ksi02 Sgr                        ,18 57 43.7990826 -21 06 23.961268      ,3.51
HD 176884                          ,19 03 03.8052494136 -19 14 44.460596724,6
HD 178175                          ,19 08 16.7018664360 -19 17 25.037957508,5.49
* pi. Sgr                          ,19 09 45.8329260 -21 01 25.010335      ,2.88
* d Sgr                            ,19 17 38.0791354800 -18 57 10.462484520,4.878
